original_name,authoritative_name,uni_id,uni_data_source
University of Pittsburgh,University of Pittsburgh,,
University of Pittsburgh Pittsburgh Campus,University of Pittsburgh Pittsburgh Campus,,
University of Puerto Rico,University of Puerto Rico,,
University of Saskatchewan,University of Saskatchewan,,
University of Saskatoon,University of Saskatoon,,
University of Sherbrooke,University of Sherbrooke,,
University of South Carolina,University of South Carolina,,
University of Texas at Austin,University of Texas at Austin,,
University of Texas at Dallas,University of Texas at Dallas,,
University of Texas-Austin,University of Texas-Austin,,
University of Toronto,University of Toronto,,
University of Toronto Mississauga,University of Toronto Mississauga,,
University of Toronto.,University of Toronto.,,
University of Washington,University of Washington,,
University of Washington Seattle campus,University of Washington Seattle campus,,
University of Washington.,University of Washington.,,
University of Western Ontario,University of Western Ontario,,
University of Winnipeg,University of Winnipeg,,
UNM,UNM,,
UQAM,UQAM,,
UQÀM,UQÀM,,
USC,USC,,
UTM,UTM,,
UTM-Sheridan,UTM-Sheridan,,
UTSC,UTSC,,
UTSC-Centennial,UTSC-Centennial,,
UTSG,UTSG,,
UVM,UVM,,
Vanier College,Vanier College,,
Western Illinois University Quad City riverfront campus,Western Illinois University Quad City riverfront campus,,
WSU,WSU,,
American University,American University,131159,ipeds
Amherst College,Amherst College,164465,ipeds
Appalachian State University,Appalachian State University,197869,ipeds
Augsburg,Augsburg University,173045,ipeds
Babson College,Babson College,164580,ipeds
Barnard,Barnard College,189097,ipeds
Barnard College,Barnard College,189097,ipeds
Baylor University,Baylor University,223232,ipeds
Bennington College,Bennington College,230816,ipeds
Berklee College of Music,Berklee College of Music,164748,ipeds
Bloomsburg University of Pennsylvania,Bloomsburg University of Pennsylvania,211158,ipeds
Boston College,Boston College,164924,ipeds
Boston University,Boston University,164988,ipeds
Brandeis,Brandeis University,165015,ipeds
Brandeis University,Brandeis University,165015,ipeds
Brock University,Brock University,IAU-001778-1,glued
Brown,Brown University,217156,ipeds
California State University Fresno,California State University-Fresno,110556,ipeds
California State University Fullerton,California State University-Fullerton,110565,ipeds
California State University Sacramento,California State University-Sacramento,110617,ipeds
California University of Pennsylvania,California University of Pennsylvania,211361,ipeds
Capilano University,Capilano University,IAU-001973-1,glued
Carleton,Carleton University,IAU-001997-1,glued
Carleton University,Carleton University,IAU-001997-1,glued
Carlow,Carlow University,211431,ipeds
Carnegie Mellon,Carnegie Mellon University,211440,ipeds
Carnegie Mellon University,Carnegie Mellon University,211440,ipeds
Centennial College,Centennial College,IAU-002055-1,glued
Central Connecticut State University,Central Connecticut State University,128771,ipeds
Chatham University,Chatham University,211556,ipeds
Cheyney University of Pennsylvania,Cheyney University of Pennsylvania,211608,ipeds
Chicago State University,Chicago State University,144005,ipeds
City College of San Francisco,City College of San Francisco,112190,ipeds
Claremont McKenna College,Claremont McKenna College,112260,ipeds
Clarion University of Pennsylvania,Clarion University of Pennsylvania,211644,ipeds
Clark Atlanta University,Clark Atlanta University,138947,ipeds
Clark University,Clark University,165334,ipeds
Clemson University,Clemson University,217882,ipeds
College of Menominee Nation,College of Menominee Nation,413617,ipeds
College of William and Mary,College of William and Mary,231624,ipeds
Columbia,Columbia College,112561,ipeds
Columbia,Columbia College,112561,ipeds
Columbia,Columbia College,112561,ipeds
Columbia,Columbia College,112561,ipeds
Columbia,Columbia College,112561,ipeds
Columbia,Columbia College,177065,ipeds
Columbia,Columbia College,177065,ipeds
Columbia,Columbia College,177065,ipeds
Columbia,Columbia College,177065,ipeds
Columbia,Columbia College,177065,ipeds
Columbia,Columbia College,217934,ipeds
Columbia,Columbia College,217934,ipeds
Columbia,Columbia College,217934,ipeds
Columbia,Columbia College,217934,ipeds
Columbia,Columbia College,217934,ipeds
Columbia,Columbia College,455983,ipeds
Columbia,Columbia College,455983,ipeds
Columbia,Columbia College,455983,ipeds
Columbia,Columbia College,455983,ipeds
Columbia,Columbia College,455983,ipeds
Columbia,Columbia College,479248,ipeds
Columbia,Columbia College,479248,ipeds
Columbia,Columbia College,479248,ipeds
Columbia,Columbia College,479248,ipeds
Columbia,Columbia College,479248,ipeds
Columbia College Chicago,Columbia College Chicago,144281,ipeds
Community College of Allegheny County,Community College of Allegheny County,210605,ipeds
Concordia,Concordia University,IAU-003125-1,glued
Concordia University,Concordia University,IAU-003125-1,glued
Cornell,Cornell University,190415,ipeds
Cornell University,Cornell University,190415,ipeds
Dalhousie,Dalhousie University,IAU-003505-3,glued
Dalhousie University,Dalhousie University,IAU-003505-3,glued
Davidson College,Davidson College,198385,ipeds
DePaul,DePaul University,144740,ipeds
DePaul University,DePaul University,144740,ipeds
Drexel,Drexel University,212054,ipeds
Drexel University,Drexel University,212054,ipeds
Duke,Duke University,198419,ipeds
Duke University,Duke University,198419,ipeds
Dunwoody College of Technology,Dunwoody College of Technology,175227,ipeds
East Carolina University,East Carolina University,198464,ipeds
East Los Angeles College,East Los Angeles College,113856,ipeds
