original_name,authoritative_name,uni_id,uni_data_source,canonical_event_key,notes
East Los Angeles College,East Los Angeles College,113856,ipeds,20160505_LosAngeles_Rally_OtherIssue,
East Los Angeles College,East Los Angeles College,113856,ipeds,20161116_LosAngeles_Immigration(for),
East Los Angeles College,East Los Angeles College,113856,ipeds,20161116_MontereyPark_March_ImmigrationFor,
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20151030_Pomona_Rally_UniversityGovernance,
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20161117_Pomona_March_Immigration(For),
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20170207_Pomona_March_Immigration(For),
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20170922_SanLuisObispo_March_Trump(Against),
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20170926_SanLuisObispo_SymbolicDisplay_PoliceViolence,
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20171103_SanLuisObispo_March_HateSpeech,
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20180116_SanLuisObispo_March_Sexual Assault,
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20170414_SanLuisObispo_Boycott_CampusClimate,
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20180424_SanLuisObispo_Demonstration_CampusClimate,
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20180426_SanLuisObispo_Demonstration_FarRight(Against),
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20180426_SanLuisObispo_Demonstration-NAACP_FarRight(Against),
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20180426_SanLuisObispo_Demonstration-Anarchists_FarRight(Against),
California State Polytechnic University Pomona,California State Polytechnic University-Pomona,NA,NA,20150519_Pomona_March_UniversityGov,
Vassar College,Vassar College,NA,NA,20151023_Poughkeepsie_Rally_Environmental,
Vassar College,Vassar College,NA,NA,20170225_Poughkeepsie_Rally_HateSpeech,
Vassar College,Vassar College,NA,NA,20170915_Poughkeepsie_Rally_Labor,
Vassar College,Vassar College,NA,NA,20161017_Cambridge_Rally_Labor,
Vassar College,Vassar College,NA,NA,20130409_Poughkeepsie_March_ImmigrationFor,
Community College of Philadelphia,Community College of Philadelphia,NA,NA,20151208_Philadelphia_Rally_UniversityGovernance,
Southern Illinois University Edwardsville,Southern Illinois University-Edwardsville,NA,NA,20170120_Edwardsville_Rally_Economy,
Southern Illinois University Edwardsville,Southern Illinois University-Edwardsville,NA,NA,20161101_Carbondale_March_UniversityGovernance,
Southern Illinois University Edwardsville,Southern Illinois University-Edwardsville,NA,NA,20170920_Edwardsville_March_AntiRacism,
Southern Illinois University Edwardsville,Southern Illinois University-Edwardsville,NA,NA,20171204_Edwardsville_Rally_LabourAndWork,
Southern Illinois University Edwardsville,Southern Illinois University-Edwardsville,NA,NA,20150120_Edwardsville_March_PoliceViolence,
Elizabethtown College,Elizabethtown College,NA,NA,20161011_Elizabethtown_Vigil_LGB,
Elizabethtown College,Elizabethtown College,NA,NA,20170126_Elizabethtown_OtherForm_TrumpAgainst,
Gannon University,Gannon University,NA,NA,20161019_Erie_Picketing_Labor,
Gannon University,Gannon University,NA,NA,20161019_SlipperyRock_Strike_Labour,
Gannon University,Gannon University,NA,NA,20161019_Edinboro_Picketing_Labor,
Gannon University,Gannon University,NA,NA,20180320_Erie_Petition_UniversityGovernance,
University of Oregon,University of Oregon,209551,ipeds,20161109_Eugene_March_TrumpAgainst,
University of Oregon,University of Oregon,209551,ipeds,20140424_Eugene_March_SexualAssault,
University of Oregon,University of Oregon,209551,ipeds,20161109_Eugene_March_TrumpAgainst,
University of Oregon,University of Oregon,209551,ipeds,20161110_Eugene_March_TrumpAgainst,
University of Oregon,University of Oregon,209551,ipeds,20161121_Eugene_Demonstration_HateCrimes,
