source,name,og_name,ipeds_dummy
2,Edinboro University of Pennsylvania,Edinboro University of Pennsylvania,TRUE
2,Indiana University of Pennsylvania-Main Campus,Indiana University of Pennsylvania,TRUE
2,Kutztown University of Pennsylvania,Kutztown University of Pennsylvania,TRUE
2,Mansfield University of Pennsylvania,Mansfield University of Pennsylvania,TRUE
2,Millersville University of Pennsylvania,Millersville University of Pennsylvania,TRUE
2,Shippensburg University of Pennsylvania,Shippensburg University of Pennsylvania,TRUE
2,Slippery Rock University of Pennsylvania,Slippery Rock University of Pennsylvania,TRUE
2,West Chester University of Pennsylvania,West Chester University of Pennsylvania,TRUE
2,Southern Connecticut State University,Southern Connecticut State University,TRUE
2,Eastern Illinois University,Eastern Illinois,TRUE
2,Northeastern Illinois University,Northeastern Illinois,TRUE
2,Northeastern Illinois University,Northeastern Illinois University,TRUE
2,Carleton College,Carleton,TRUE
2,Carlow University,Carlow,TRUE
2,Community College of Allegheny County,Community College of Allegheny County,TRUE
2,Weber State University,Weber State,TRUE
2,Texas State University,Texas State University,TRUE
2,University of the District of Columbia,University of the District of Columbia,TRUE
2,College of William and Mary,College of William and Mary,TRUE
2,Johns Hopkins University,Johns Hopkins,TRUE
2,University of Southern California,University of Southern California,TRUE
2,Shaw University,Shaw,TRUE
2,Duke University,Duke,TRUE
2,Dunwoody College of Technology,Dunwoody College of Technology,TRUE
2,Augsburg University,Augsburg,TRUE
2,Macalester College,Macalester College,TRUE
2,Lutheran School of Theology at Chicago,Lutheran School of Theology at Chicago,TRUE
2,Milligan College,Milligan College,TRUE
2,Emmanuel Christian Seminary,Emmanuel Christian Seminary,TRUE
2,Northwestern University,Northwestern,TRUE
2,Central Connecticut State University,Central Connecticut State University,TRUE
2,Brown University,Brown,TRUE
2,Lesley University,Lesley University,TRUE
2,Lesley University,Lesley,TRUE
2,Northeastern University,Northeastern,TRUE
2,Holy Cross College,Holy Cross,TRUE
2,Otterbein University,Otterbein University,TRUE
2,Ohio University-Main Campus,Ohio University,TRUE
2,Salt Lake Community College,Salt Lake Community College,TRUE
2,Chatham University,Chatham University,TRUE
2,The New School,The New School,TRUE
2,Lane Community College,Lane Community,TRUE
