og_name,name,true_name,ipeds_dummy,canada,
UCSF Mission Bay Campus,UCSF Mission Bay Campus,University of California-San Francisco,FALSE,,
Ontario College of Art and Design University,Ontario College of Art and Design University,,FALSE,TRUE,
City College of New York,City College of New York,CUNY City College,FALSE,,
GVSU,GVSU,Grand Valley State University,FALSE,,
"CUPE members held a silent protest outside of the library and Maggie Benston Centre, and on Oct. 19, they walked off the job and picketed the SFU Vancouver locations, including the Harbour Centre and Woodward’s campuses","CUPE members held a silent protest outside of the library and Maggie Benston Centre, and on Oct. 19, they walked off the job and picketed the SFU Vancouver locations, including the Harbour Centre and Woodward’s campuses",,FALSE,TRUE,
"SFU’s Vancouver campuses, including Harbour Centre and Woodward’s, were picketed on Saturday and Sunday","SFU’s Vancouver campuses, including Harbour Centre and Woodward’s, were picketed on Saturday and Sunday",,FALSE,TRUE,
Native Education College,Native Education College,,FALSE,TRUE,
Simon Fraser,Simon Fraser,,FALSE,TRUE,
University of Tennessee in Chattanooga,University of Tennessee in Chattanooga,The University of Tennessee-Chattanooga,FALSE,,
SFU’s Vancouver and Surrey campuses,SFU’s Vancouver and Surrey campuses,,FALSE,TRUE,
all three of SFU’s campuses,all three of SFU’s campuses,,FALSE,TRUE,
Rutgers,Rutgers,Rutgers University-New Brunswick,FALSE,,
California State University - Fullerton,California State University - Fullerton,California State University-Fullerton,FALSE,,
Mesa State College,Mesa State College,Mesa Community College,FALSE,,
Haverford and Bryn Mawr Colleges,Haverford and Bryn Mawr Colleges,"Haverford College,ryn Mawr College",FALSE,,
University of Hawai'i at Hilo,University of Hawai'i at Hilo,University of Hawaii at Hilo,FALSE,,
Michigan Tech,Michigan Tech,Michigan Technological University,FALSE,,
University of Hawaii,University of Hawaii,University of Hawaii at Manoa,FALSE,,
Amherst College in Massachusetts,Amherst College in Massachusetts,University of Massachusetts-Amherst,FALSE,,
Harvard Medical School,Harvard Medical School,Harvard University,FALSE,,
Harvard Graduate School of Education,Harvard Graduate School of Education,Harvard University,FALSE,,
University of Toronto.,University of Toronto.,,FALSE,TRUE,
Ryerson,Ryerson,,FALSE,TRUE,
Cal Poly Pomona,Cal Poly Pomona,California State Polytechnic University-Pomona,FALSE,,
Cal State Fullerton,Cal State Fullerton,California State University-Fullerton,FALSE,,
Cal State Northridge,Cal State Northridge,California State University-Northridge,FALSE,,
OU,OU,University of Oklahoma-Norman Campus,FALSE,,
University of Texas-Austin,University of Texas-Austin,The University of Texas at Austin,FALSE,,
UIS,UIS,University of Illinois at Springfield,FALSE,,
Laurentian University’,Laurentian University’,,FALSE,TRUE,
UTM,UTM,The University of Tennessee-Martin,FALSE,,
universities across Louisiana,universities across Louisiana,,FALSE,,
IU-Purdue University Indianapolis,IU-Purdue University Indianapolis,Indiana University-Purdue University-Indianapolis,FALSE,,
IU-Bloomington,IU-Bloomington,Indiana University-Bloomington,FALSE,,
20 other SUNY campuses,20 other SUNY campuses,,FALSE,,
University of Illinois [at] Chicago,University of Illinois [at] Chicago,University of Illinois at Chicago,FALSE,,
several Chicago-area colleges,several Chicago-area colleges,,FALSE,,
Fresno State,Fresno State,California State University-Fresno,FALSE,,
John Abbott College,John Abbott College,,FALSE,TRUE,
Lock Haven University of Pennsylvania,Lock Haven University of Pennsylvania,Lock Haven University,FALSE,,
Connecticut State University,Connecticut State University,Central Connecticut State University,FALSE,,
UNCG,UNCG,University of North Carolina at Greensboro,FALSE,,
A&T,A&T,North Carolina A & T State University,FALSE,,
CUNY,CUNY,CUNY City College,FALSE,,
Baruch,Baruch,CUNY Bernard M Baruch College,FALSE,,
Honolulu CC,Honolulu CC,Honolulu Community College,FALSE,,
Texas Southern University.,Texas Southern University.,Texas Southern University,FALSE,,
the 23 California State University campuses,the 23 California State University campuses,,FALSE,,
Cégep du Vieux Montréal,Cégep du Vieux Montréal,,FALSE,TRUE,
MSUM,MSUM,Minnesota State University Moorhead,FALSE,,
WSU,WSU,Washington State University,FALSE,,
California State University,California State University,California State University-Fullerton,FALSE,,
all 23 California State Universities,all 23 California State Universities,,FALSE,,
Cal State Long Beach,Cal State Long Beach,California State University-Long Beach,FALSE,,
other CSUs,other CSUs,,FALSE,,
different CSU campuses,different CSU campuses,,FALSE,,
CSU Northridge,CSU Northridge,California State University-Northridge,FALSE,,
CSU Dominguez Hills,CSU Dominguez Hills,California State University-Dominguez Hills,FALSE,,
CSU Los Angeles,CSU Los Angeles,California State University-Los Angeles,FALSE,,
Chico State,Chico State,California State University-Chico,FALSE,,
City University of New York,City University of New York,CUNY City College,FALSE,,
